BOROUGH_NAME,BUILDING CLASS CATEGORY,ZIP CODE,AGE,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,RESIDENTIAL UNITS,COMMERCIAL UNITS
Queens,02 TWO FAMILY DWELLINGS,11377.0,85.0,2.0,1640.0,1632.0,2.0,0.0
Brooklyn,02 TWO FAMILY DWELLINGS,11208.0,115.0,2.0,2250.0,3420.0,2.0,0.0
Brooklyn,07 RENTALS - WALKUP APARTMENTS,11213.0,97.0,32.0,11200.0,28200.0,32.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11355.0,85.0,1.0,1967.0,1216.0,1.0,0.0
Staten Island,01 ONE FAMILY DWELLINGS,10304.0,23.0,1.0,1185.0,1405.0,1.0,0.0
Bronx,02 TWO FAMILY DWELLINGS,10470.0,105.0,2.0,4000.0,1930.0,2.0,0.0
Brooklyn,02 TWO FAMILY DWELLINGS,11228.0,110.0,2.0,1933.0,1446.0,2.0,0.0
Queens,02 TWO FAMILY DWELLINGS,11358.0,85.0,3.0,5000.0,1708.0,2.0,1.0
Staten Island,01 ONE FAMILY DWELLINGS,10314.0,60.0,1.0,4484.0,1680.0,1.0,0.0
Queens,14 RENTALS - 4-10 UNIT,11694.0,95.0,4.0,2500.0,1300.0,3.0,1.0
Brooklyn,03 THREE FAMILY DWELLINGS,11218.0,124.0,3.0,1903.0,2372.0,3.0,0.0
Bronx,31 COMMERCIAL VACANT LAND,10458.0,,,1249.0,,0.0,0.0
Brooklyn,02 TWO FAMILY DWELLINGS,11235.0,95.0,2.0,1600.0,1452.0,2.0,0.0
Brooklyn,02 TWO FAMILY DWELLINGS,11221.0,98.0,3.0,1325.0,1237.0,2.0,1.0
Queens,02 TWO FAMILY DWELLINGS,11416.0,100.0,2.0,3500.0,1592.0,2.0,0.0
Queens,02 TWO FAMILY DWELLINGS,11363.0,50.0,2.0,4830.0,2000.0,2.0,0.0
Brooklyn,01 ONE FAMILY DWELLINGS,11234.0,60.0,1.0,18935.0,3024.0,1.0,0.0
Brooklyn,07 RENTALS - WALKUP APARTMENTS,11213.0,94.0,4.0,2368.0,5506.0,4.0,0.0
Bronx,03 THREE FAMILY DWELLINGS,10465.0,65.0,3.0,3279.0,2662.0,3.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11434.0,100.0,1.0,2000.0,868.0,1.0,0.0
Brooklyn,07 RENTALS - WALKUP APARTMENTS,11213.0,94.0,4.0,1325.0,3940.0,4.0,0.0
Queens,05 TAX CLASS 1 VACANT LAND,11692.0,1.0,2.0,3600.0,,2.0,0.0
Brooklyn,08 RENTALS - ELEVATOR APARTMENTS,11211.0,130.0,21.0,6095.0,13500.0,21.0,0.0
Brooklyn,02 TWO FAMILY DWELLINGS,11230.0,110.0,2.0,1250.0,1404.0,2.0,0.0
Brooklyn,01 ONE FAMILY DWELLINGS,11217.0,126.0,1.0,2000.0,5548.0,1.0,0.0
Brooklyn,01 ONE FAMILY DWELLINGS,11225.0,120.0,1.0,2000.0,1800.0,1.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11364.0,70.0,1.0,2500.0,1024.0,1.0,0.0
Queens,02 TWO FAMILY DWELLINGS,11103.0,115.0,2.0,2500.0,1980.0,2.0,0.0
Manhattan,07 RENTALS - WALKUP APARTMENTS,10014.0,124.0,10.0,2407.0,9530.0,10.0,0.0
Brooklyn,02 TWO FAMILY DWELLINGS,11233.0,124.0,2.0,1500.0,2160.0,2.0,0.0
Brooklyn,01 ONE FAMILY DWELLINGS,11204.0,100.0,1.0,1600.0,1122.0,1.0,0.0
Brooklyn,01 ONE FAMILY DWELLINGS,11229.0,105.0,1.0,3570.0,1713.0,1.0,0.0
Manhattan,08 RENTALS - ELEVATOR APARTMENTS,10028.0,75.0,34.0,5108.0,22500.0,34.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11365.0,95.0,1.0,2850.0,1088.0,1.0,0.0
Bronx,08 RENTALS - ELEVATOR APARTMENTS,10461.0,64.0,62.0,17500.0,74500.0,62.0,0.0
Bronx,07 RENTALS - WALKUP APARTMENTS,10467.0,96.0,4.0,5000.0,3780.0,4.0,0.0
Queens,02 TWO FAMILY DWELLINGS,11691.0,28.0,2.0,3164.0,2383.0,2.0,0.0
Queens,03 THREE FAMILY DWELLINGS,11106.0,85.0,3.0,2500.0,3016.0,3.0,0.0
Bronx,01 ONE FAMILY DWELLINGS,10471.0,85.0,1.0,3060.0,1480.0,1.0,0.0
Queens,02 TWO FAMILY DWELLINGS,11422.0,70.0,2.0,4500.0,1575.0,2.0,0.0
Brooklyn,14 RENTALS - 4-10 UNIT,11226.0,95.0,5.0,4050.0,7596.0,4.0,1.0
Staten Island,02 TWO FAMILY DWELLINGS,10314.0,55.0,2.0,4080.0,2220.0,2.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11366.0,75.0,1.0,1710.0,1296.0,1.0,0.0
